filename,width,height,class,xmin,ymin,xmax,ymax
tile_15_21.jpg,512,512,tree,106,11,138,37
tile_15_21.jpg,512,512,tree,145,76,164,87
tile_15_21.jpg,512,512,tree,187,25,211,47
tile_15_21.jpg,512,512,tree,31,112,49,129
tile_15_21.jpg,512,512,tree,96,119,126,137
tile_15_21.jpg,512,512,tree,53,162,87,188
tile_15_21.jpg,512,512,tree,12,210,43,239
tile_15_21.jpg,512,512,tree,94,234,123,255
tile_15_21.jpg,512,512,tree,42,280,75,303
tile_15_21.jpg,512,512,tree,6,326,32,353
tile_15_21.jpg,512,512,tree,144,276,165,294
tile_15_21.jpg,512,512,tree,178,136,200,160
tile_15_21.jpg,512,512,tree,142,186,161,209
tile_15_21.jpg,512,512,tree,213,88,245,114
tile_15_21.jpg,512,512,tree,262,45,294,71
tile_15_21.jpg,512,512,tree,300,0,335,18
tile_15_21.jpg,512,512,tree,413,100,437,118
tile_15_21.jpg,512,512,tree,451,64,479,90
tile_15_21.jpg,512,512,tree,478,34,509,59
tile_15_21.jpg,512,512,tree,358,152,385,177
tile_15_21.jpg,512,512,tree,311,192,345,221
tile_15_21.jpg,512,512,tree,288,236,311,261
tile_15_21.jpg,512,512,tree,236,280,259,308
tile_15_21.jpg,512,512,tree,149,370,178,393
tile_15_21.jpg,512,512,tree,113,420,135,439
tile_15_21.jpg,512,512,tree,65,462,97,483
tile_15_21.jpg,512,512,tree,139,474,167,495
tile_15_21.jpg,512,512,tree,181,426,215,451
tile_15_21.jpg,512,512,tree,275,330,299,350
tile_15_21.jpg,512,512,tree,318,282,345,307
tile_15_21.jpg,512,512,tree,360,234,395,263
tile_15_21.jpg,512,512,tree,414,180,441,203
tile_15_21.jpg,512,512,tree,459,131,486,157
tile_15_21.jpg,512,512,tree,495,88,512,114
tile_15_21.jpg,512,512,tree,486,190,512,221
tile_15_21.jpg,512,512,tree,443,244,465,265
tile_15_21.jpg,512,512,tree,404,286,435,318
tile_15_21.jpg,512,512,tree,359,346,386,365
tile_15_21.jpg,512,512,tree,317,395,341,418
tile_15_21.jpg,512,512,tree,265,461,290,477
tile_15_21.jpg,512,512,tree,236,491,263,506
tile_15_21.jpg,512,512,tree,410,396,432,417
tile_15_21.jpg,512,512,tree,473,418,502,445
tile_15_21.jpg,512,512,tree,436,474,455,495
tile_15_21.jpg,512,512,tree,480,497,509,512
tile_15_21.jpg,512,512,tree,271,130,291,150
tile_22_31.jpg,512,512,tree,17,30,43,54
tile_22_31.jpg,512,512,tree,80,61,103,79
tile_22_31.jpg,512,512,tree,131,25,163,44
tile_22_31.jpg,512,512,tree,33,103,48,122
tile_22_31.jpg,512,512,tree,198,0,227,9
tile_22_31.jpg,512,512,tree,285,13,307,30
tile_22_31.jpg,512,512,tree,408,1,436,22
tile_22_31.jpg,512,512,tree,455,37,476,56
tile_22_31.jpg,512,512,tree,405,80,428,96
tile_22_31.jpg,512,512,tree,253,117,287,135
tile_22_31.jpg,512,512,tree,184,84,215,106
tile_22_31.jpg,512,512,tree,139,128,171,149
tile_22_31.jpg,512,512,tree,82,175,110,191
tile_22_31.jpg,512,512,tree,150,196,170,214
tile_22_31.jpg,512,512,tree,208,159,234,178
tile_22_31.jpg,512,512,tree,46,210,66,228
tile_22_31.jpg,512,512,tree,55,278,78,294
tile_22_31.jpg,512,512,tree,5,254,17,274
tile_22_31.jpg,512,512,tree,196,256,219,268
tile_22_31.jpg,512,512,tree,243,302,268,314
tile_22_31.jpg,512,512,tree,192,342,216,360
tile_22_31.jpg,512,512,tree,305,264,317,273
tile_22_31.jpg,512,512,tree,379,274,399,297
tile_22_31.jpg,512,512,tree,434,236,449,257
tile_22_31.jpg,512,512,tree,488,194,502,214
tile_22_31.jpg,512,512,tree,464,291,488,311
tile_22_31.jpg,512,512,tree,422,337,433,351
tile_22_31.jpg,512,512,tree,371,378,381,392
tile_22_31.jpg,512,512,tree,334,320,351,340
tile_22_31.jpg,512,512,tree,276,368,299,382
tile_22_31.jpg,512,512,tree,94,343,115,362
tile_22_31.jpg,512,512,tree,144,384,164,400
tile_22_31.jpg,512,512,tree,91,425,116,443
tile_22_31.jpg,512,512,tree,43,463,73,489
tile_22_31.jpg,512,512,tree,178,452,205,473
tile_22_31.jpg,512,512,tree,236,408,249,424
tile_22_31.jpg,512,512,tree,381,462,398,480
tile_22_31.jpg,512,512,tree,448,491,468,509
tile_22_31.jpg,512,512,tree,126,496,153,510
tile_26_30.jpg,512,512,tree,83,59,96,71
tile_26_30.jpg,512,512,tree,55,2,74,13
